Date,District,Header,Story,Source,Attack,Propaganda,Structural Discrimination,Material Damage,Reported status,year,type of incident,date_form
2014-08-31,Pankow,Facebook-Seite der NPD Pankow,"In einem Posting vom 01.08. agitiert die NPD gegen Flüchtlinge in Buch. Es wird von „Wirtschaftsflüchtlingen“ gesprochen, die in den „deutschen“ Ortsteil kommen. Sie drohen, dass das letzte Wort in Bezug auf Flüchtlinge in Buch noch nicht gesprochen ist.In einem Posting vom 04.08. agitiert die NPD gegen eine Wagenburg in Karow sowie gegen Punker_innen und Linke.Am 31.08. äußert sich die NPD homophob. Sie ruft alle „Deutschen“ dazu auf, dass sie Blutspenden sollen und das homosexuelle nicht „erwünscht“ sind.",Facebook-Seite der NPD KV 8 Pankow,,,,,,2014,,2014 Aug 31
2014-08-11,Friedrichshain-Kreuzberg,Transphobe Beleidigung,,Register Friedrichshain-Kreuzberg,verbal,,,,,2014,verbal attack,2014 Aug 11
2014-07-24,Neukölln,Antisemitisch beleidigt und zu Boden gestoßen,"Ein 46-jähriger Mann wird gegen 20.00 Uhr in der Weisestraße von einem 63-Jährigen antisemitisch beleidigt und zu Boden gestoßen. Der 46-Jährige vermutet, dass er auch aufgrund seiner Homosexualität angegriffen wurde.",ReachOut /Polizei Berlin,verbal,,,,,2014,verbal attack,2014 Jul 24
2014-07-18,Friedrichshain-Kreuzberg,Mann als Schwuchtel beschimpft,"Ein Mann wird in Kreuzberg als Schwuchtel beschimpft, weil er auf einem Frauenfahrrad unterwegs ist.",Betroffener,verbal,,,,,2014,verbal attack,2014 Jul 18
2014-07-04,Mitte,Homophober Angriff U-Bahnhof Französische Strasse,"Gegen 21.00 Uhr werden ein 21-jähriger und ein 32-jähriger Mann auf demBahnsteig des U-Bahnhofs Französische Straße von drei Männern im Altervon 17 bis 19 Jahren homophob beleidigt, geschlagen und verletzt.",ReachOut,physical,,,,,2014,physical attack,2014 Jul 04
2014-06-28,Pankow,Facebook-Seite der NPD KV8 Pankow,"In einem Posting (11.06.) auf der Facebook-Seite des NPD KV8 Pankow wurde zur Blutspende aufgerufen, damit die Erhaltung des deutschen Blutes für die Zukunft sichergestellt wird. Am Ende des Postings stand, dass „homosexuelle Männer hierbei ausdrücklich unerwünscht [sind]“. Als „Beleg“ wurde auf die Seite des Österreichischen Roten Kreuzes verwiesen. Hier wurden ebenfalls Männer, die mit Männern Sex hatten, vom Blutspenden ausgeschlossen.In einem weiteren Posting (28.06.) wurde sich diskriminierend gegenüber einem Travestie-Künstler geäußert. Es wurde sich für eine „traditionelle Familie von Mutter – Vater – Kind“ und gegen den „Einheitsbrei und Genderterror“ ausgesprochen.",Facebook-Seite der NPD KV 8 Pankow vom 28.06.2014,,,yes,,,2014,discrimination,2014 Jun 28
2014-06-23,Friedrichshain-Kreuzberg,Männer homophob beleidigt und geschlagen,Gegen 1.10 Uhr werden ein 18- und ein 20-jähriger Mann in der Oranienstraße in einem Internetcafe von einem 18- und einem 20-jährigen Mann homophob beleidigt und geschlagen.,Polizei,verbal,,,,,2014,verbal attack,2014 Jun 23
2014-06-15,Tempelhof-Schöneberg,Angriff aus homophober Motivation,"Am 15.06.14 wird nach dem Motzstraßenfest gegen 23.55 Uhr ein 33-jähriger Mann, der in Begleitung eines anderen Mannes in der Lietzenburger Str. unterwegs ist, aus einer Gruppe heraus homophob beleidigt und von einem Unbekannten ins Gesicht geschlagen.",ReachOut,physical,,,,,2014,physical attack,2014 Jun 15
2014-06-15,Tempelhof-Schöneberg,Angriff aus homophober Motivation,Am 15.06.14 wird ein 35-jähriger Mann gegen 03.25 Uhr in der Hauptstraße in Schöneberg von einem unbekannten Mann aus einer Gruppe heraus homophob beleidigt und geschlagen.,ReachOut,physical,,,,,2014,physical attack,2014 Jun 15
2014-06-14,Neukölln,Beleidigung von Passant_innen,"Vier Neonazis reißen an einem Cafe in der Wildenbruchstraße antirassistische Plakate von der Außenwand, schütten Bier gegen die Fenster und treten gegen die verschlossene Eingangstür. Später pöbeln sie Passant_innen in der Wildenbruchstraße und Schandauerstraße rassistisch an, andere werden homophob beleidigt. ","Antifa Chronik NK/Polizei, Pressestelle",verbal,,,,,2014,verbal attack,2014 Jun 14
2014-06-14,Friedrichshain-Kreuzberg,Transphobe Beleidigung,,Register Friedrichshain-Kreuzberg,verbal,,,,,2014,verbal attack,2014 Jun 14
2014-06-09,Mitte,Homophobe Aggression und Beleidigung auf U-Bahnhof Französische Straße,Gegen 1.00 Uhr wird ein 44-jähriger Mann auf dem U-Bahnhof Französische Straße von zwei Unbekannten homophob beleidigt und getreten.,Reach Out,physical,,,,,2014,physical attack,2014 Jun 09
2014-05-24,Pankow,"Zwei Männer von Unbekannten beleidigt, geschlagen und getreten","Ein Kuss zwischen zwei Männern war heute früh offenbar Grund dafür, dass Unbekannte sie in Prenzlauer Berg erst beleidigten und dann körperlich attackierten. Kurz nach 4 Uhr waren die 37 und 39 Jahre alten Männer nach einem Lokalbesuch auf dem Weg nach Hause. Hinter ihnen liefen drei Unbekannte, die einen Kuss der beiden Männer sahen und ihnen Cantian-/Gaudystraße homophobe Beleidigungen zuriefen. Im Anschluss folgten sie den Beiden in die Sonnenburger Straße. Während sich das Paar im Hausflur befand, versuchten die Verfolger, die Haustür gewaltsam zu öffnen. Obwohl sich die Beiden gegen die Eingangstür stemmten, gelang es einem der Täter, eine kleine Scheibe herauszutreten, hindurchzugreifen und die Türklinke zu betätigen. Im Hausflur attackierte dieser dann den 37-Jährigen mit einem Fußtritt gegen den Kopf, während ein zweiter dem 39-Jährigen mit der Faust ins Gesicht schlug. Anschließend flüchtete das Trio unerkannt in Richtung Gaudystraße. Die beiden Angegriffenen wurden leicht verletzt. Nach derzeitigem Kenntnisstand agierten nur zwei der drei Unbekannten, während der Dritte versucht haben soll, beschwichtigend auf seine Begleiter einzuwirken.",Pressemitteilung der Polizei vom 24.05.2014,physical,,,,,2014,physical attack,2014 May 24
2014-05-22,Friedrichshain-Kreuzberg,Erneut Straßenmusiker am Ostkreuz bedroht,"Eine Gruppe Punks die bereits vor zwei Tagen durch rassistische, antisemitische und homophobe Äußerungen sowie das Zeigen des Hitlergrußes aufgefallen ist, hat erneut am Ostkreuz einen Straßenmusiker belästigt und ihn als „schwul“ zu beleidigen. Anschließend sangen sie ein Lied mit Holocaust verherrlichendem Inhalt.",Register Friedrichshain-Kreuzberg,verbal,,,,,2014,verbal attack,2014 May 22
2014-05-20,Friedrichshain-Kreuzberg,Straßenmusiker am Ostkreuz von Nazipunks bedroht,"Am Abend hat eine Gruppe von mehreren Punks am Ostkreuz einen Straßenmusiker bedrängt, sich lautstark über seine „Negermusik"" beschwert und versucht, ihn zu vertreiben. Als zwei Passanten sich einmischten wurden diese als „Judenschwuchtel"", „Scheißnigger"" und „Itzi"" beschimpft. Aus der Gruppe hinaus wurde dabei mehrfach auch der Hitlergruß gezeigt.",Register Friedrichshain-Kreuzberg,verbal,,,,,2014,verbal attack,2014 May 20
2014-05-18,Friedrichshain-Kreuzberg,Mann aus homophoben Gründen zu Boden geschlagen,,ReachOut,physical,,,,,2014,physical attack,2014 May 18
2014-05-01,Mitte,Beschädigung einer Gedenktafel für homosexuelle Emazipationsbewegung,"Am Magnus-Hirschfeld-Ufer gegenüber dem Bundeskanzleramt wurde eine der beiden Gedenktafeln, mit der an die weltweit erste homosexuelle Emanzipationsbewegung erinnert wird, beschädigt. Zwar ist es dem oder den Tätern nicht gelungen, die Tafel aus ihrer Bodenverankerung zu reißen, jedoch wurde sie unter großer Kraftanwendung verbogen.",LVSD Berlin-Brandenburg,,,,,,2014,,2014 May 01
2014-04-29,Mitte,LGBQT feindlicher Angriff in der Beusselstraße ,"Ein 23- und ein 28-jähriger Mann werden gegen 22.40 Uhr in der Beusselstraße von mehreren Personen homophob beleidigt und mit Flaschen beworfen. Der 28-jährige wird von einer Person getreten, kann aber fliehen. Der 23-Jährige wird getreten und geschlagen und ihm wird ein Messer an den Hals gehalten. Die Gruppe flüchtet, als die Polizei, die der 28-Jährige inzwischen alarmiert hat, kommt. Die Polizei kann später einen 40-jährigen Täter ermitteln.",Reach Out,physical,,,,,2014,physical attack,2014 Apr 29
2014-04-29,Mitte,Homophobe Beleidigung und Agression in der Beusselstraße,"Ein 23- und ein 28-jähriger Mann werden gegen 22.40 Uhr in der Beusselstraße von mehreren Personen homophob beleidigt und mit Flaschen beworfen. Der 28-jährige wird von einer Person getreten, kann aber fliehen. Der 23-Jährige wird getreten und geschlagen und ihm wird ein Messer an den Hals gehalten. Die Gruppe flüchtet, als die Polizei, die der 28-Jährige inzwischen alarmiert hat, kommt. Die Polizei kann später einen 40-jährigen Täter ermitteln.",Reach Out,physical,,,,,2014,physical attack,2014 Apr 29
2014-04-26,Pankow,Homepage der NPD KV8 Pankow,"In zwei Artikeln (03.04. & 06.04.) auf der Homepage der NPD Pankow wurde  versucht, mit Vorurteilen eine menschenverachtende Stimmung gegen Asylbewerber*innen zu erzeugen. In einem Slogan hieß es u.a. „Massenzuwanderung stoppen! Deutschland ist nicht das Sozialamt der ganzen Welt!“. Diese Aussage wurde versucht mit einer Statistik, dass Deutschland im Jahr 2013 die meisten Flüchtlinge aufgenommen hat, zu untersetzen.In einem Beitrag (26.04.) wurde das Verbot der Bestattung von lesbischen Frauen auf dem Georgen-Parochial-Friedhof gefordert. Es wurde von „Gender-Mainstream-Terror“, „Emanzen-Verein“ und „heterofeindlichen Feministen“ gesprochen und auch davon, dass durch die Nutzung des Friedhofes durch Lesben „dem Genderwahn Tür und Tor“ geöffnet würde. Am Ende wurde sich klar gegen eine „Randgruppenpolitik für Schwule und Lesben“ ausgesprochen.",Homepage der NPD KV 8 Pankow,,,,,,2014,,2014 Apr 26
2014-04-24,Marzahn-Hellersdorf,Transphober Übergriff,"Gegen 2:00 Uhr wird ein 22-jähriger Mann, der ein Kleid trägt, in der Borkheider Straße von drei unbekannten Männern transphob beleidigt und geschlagen.",Polizei Berlin,physical,,,,,2014,physical attack,2014 Apr 24
2014-04-07,Mitte,Homophobe Beleidigung und Agression auf dem U-Bahnhof Französiche Straße,"Gegen 21.00 Uhr werden ein 21-jähriger und ein 31-jähriger Mann von dreiJugendliche im Alter von 16, 17 und 19 Jahren auf dem U-Bahnhof FranzösischeStraße homophob beleidigt und geschlagen.",Reach Out,physical,,,,,2014,physical attack,2014 Apr 07
2014-04-01,Charlottenburg-Wilmersdorf,Homophober Vortrag von European Dignity Watch in der Bibliothek des Konservatismus,"Am 1. April 2014 fand ab 19 Uhr in der Bibliothek des Konservatismus in der Fasanenstraße in Charlottenburg eine Veranstaltung der neuen Rechten statt. Referentin war die führende Abtreibungsgegnerin Sophia Kuby. Sie leitet die Brüsseler Lobbyorganisation European Dignity Watch, die das Recht auf Abtreibung bekämpft und somit Frauenrechte verhindern und einschränken möchte. Der Vortrag befasste sich damit, dass die Homosexuellenbewegung Tabus und Redeverbote über traditionelle Familien- und Ehebilder lege.",Infoportal CW,,,,,,2014,,2014 Apr 01
2014-03-17,Charlottenburg-Wilmersdorf,Homophober Angriff in Charlottenburg,Ein 53-jähriger Mann wird in Charlottenburg gegen 21.40 Uhr von einem unbekannten Mann homophob beleidigt und ins Gesicht geschlagen.,"Polizei Berlin 12.05.14, ReachOut Berlin 21.05.14",physical,,,,,2014,physical attack,2014 Mar 17
2014-03-17,Mitte,Homophobe Aggression und Beleidigung gegen einen 38-jähriger Mann,Gegen 20.45 Uhr wird ein 38-jähriger Mann von einem 34-Jährigen homophob beleidigt und verletzt.,Reach Out,physical,,,,,2014,physical attack,2014 Mar 17
2014-03-15,Pankow,Homophobe Beleidigung,"Eine Person, ca. 50 Jahre alt, wird aufgrund ihrer sexuellen Orientierung im Mauerpark von einer anderen Person homophobe beleidigt.",Anwohner_in,verbal,,,,,2014,verbal attack,2014 Mar 15
2014-02-24,Neukölln,Mehrfach ins Gesicht geschlagen ,"Späthstraße - Ein 51-Jähriger greift eine Transsexuelle an, schlägt sie, tritt ihr am Boden liegend mehrfach ins Gesicht und beleidigt sie homophob. Ihre Mutter beleidigt er rassistisch. Unterstützt wird der Täter von einer 63-jährigen Frau, die ihm bei der Flucht hilft und die Verletzte ebenfalls homophob beleidigt. Die Angegriffene muss aufgrund ihrer Gesichtsverletzungen ambulant im Krankenhaus behandelt werden. Einen Tag später nimmt die Polizei die beiden Täter_innen in einer Laube in der Kleingartenkolonie im Stelzenweg in Britz fest.","Polizei, Pressestelle",verbal,,,,,2014,verbal attack,2014 Feb 24
2014-02-21,Spandau,Rassistischer Angriff nahe Erstaufnahmeeinrichtung,"Ein 23-jähriger Mann wird an der Bushaltestelle Kladower Damm Ecke Breitehornweg von zwei unbekannten Männern homophob beleidigt,gewürgt und verletzt. Ein Mann verfolgt ihn, lässt dann aber von ihm ab.",ReachOut,physical,,,,,2014,physical attack,2014 Feb 21
2014-02-14,Mitte,Homophobe Aggression und Beleidigung gegen Demonstrantin,Eine Frau wird während einer Kundgebung gegen die russischen Anti-Homosexuellen-Gesetze auf dem Potsdamer Platz von einem 23-Jährigen Mann homophob beleidigt. Ein 17-jähriger Zeuge greift ein und wird von dem 23-Jährigen geschlagen.,Reach Out,verbal,,,,,2014,verbal attack,2014 Feb 14
2014-02-11,Charlottenburg-Wilmersdorf,Homosexuellenfeindlicher Angriff am Bahnhof Zoo,Ein 51-jähriger Mann wird am 11. Februar 2014 gegen 13.15 Uhr auf dem S-Bahnhof Zoologischer Garten in Charlottenburg von einem unbekannten Mann homophob beleidigt und getreten.,"Reachout,  Polizei Berlin 15.07.2014",physical,,,,,2014,physical attack,2014 Feb 11
2015-12-19,Friedrichshain-Kreuzberg,Antisemitischer Angriff,"Am Nachmittag des 19. Dezember wurde ein Mann, der einen „Gay-Israel“ Button an seiner Jacke trug, zwischen dem U-Bahnhof Mehringdamm und der Bergmannstraße aus einer dreier Gruppe heraus beschimpft, geschubst und beraubt.
Am Aufgang der U-Bahnstation ging ein ca. 25-jähriger Mann, dem der Israel-Button aufgefallen war, sofort auf den Betroffenen los und forderte, diesen zu entfernen. Der aggressiv auftretende Angreifer schubste den Betroffenen und rief fortwährend „Scheiß Zionist“, „Bist du Zionist oder was?“. Der Betroffene und seine Freundin versuchten mehrfach deeskalierend den Täter von seinem Vorhaben abzubringen und durch zügiges Gehen der Situation zu entfliehen. Erst als es dem Täter gelang den Button herunter zu reißen, stellte er die Beschimpfungen und das Schubsen ein. Passant*innen, die das aggressive und bedrohliche Verhalten mitbekamen, reagierten leider nicht. Der Betroffene wurde zum Glück nicht verletzt und hat den Button mittlerweile schon wieder ersetzt.",Recherche- und Informationsstelle Antisemitismus,physical,,,,,2015,physical attack,2015 Dec 19
2015-11-16,Treptow-Köpenick,Auto beschmiert,"Auf einem Auto wurde mit schwarzer Farbe „Gay?“ geschmiert. Es ist davon auszugehen, dass damit ein homophober Ausdruck intendiert war.",Zentrum für Demokratie,,,,,,2015,,2015 Nov 16
2015-11-12,Neukölln,Fiktive Kampfsportgeste und Beleidigung,"Ein Mann Anfang 20 zeigt zuerst eine fiktive Kampfsportgeste und beleidigt dann ein Person als ""Schwuchtel"" in Nordneukölln.",Register CW,verbal,,,,,2015,verbal attack,2015 Nov 12
2015-10-31,Charlottenburg-Wilmersdorf,LGBTIQ*feindlicher Angriff in Charlottenburg,Am 31. Oktober 2015 gegen 4.30 Uhr wird eine 22-jährige Person auf dem S-Bahnhof Westkreuz von einem 25-jährigen Mann wegen ihrer sexuellen Identität beleidigt und geschlagen.,"Reachout, Polizei 02.03.16",physical,,,,,2015,physical attack,2015 Oct 31
2015-10-30,Friedrichshain-Kreuzberg,Brief mit antisemitischem und homophobem Inhalt,Im Axel-Springer-Verlag ging ein Brief mit antisemitischem und homophobem Inhalt ein.,Polizei,verbal,,,,,2015,verbal attack,2015 Oct 30
2015-10-14,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 14. Oktober 2015 veranstaltete die „Junge Alternative Berlin“ ein Treffen im Restaurant Bavaria im Europacenter. Referent war der ehemalige Polizist Otto D., AfD-Landesvorstandsmitglied Beatrix von Storch hielt ein Koreferat. Thema war die „Flüchtlingskrise“, die aus ordnungspolitischer und nationalistischer Perspektive besprochen wurde. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Oct 14
2015-10-06,Friedrichshain-Kreuzberg,Brandanschlag auf die Liebigstraße 34,"In den frühen Morgenstunden kam es zu einem Brandanschlag auf die Liebigstraße 34, ein queer und anarchafeministisches Hausprojekt in Friedrichshain. Das Feuer wurde in der Durchfahrt zum Hinterhof gelegt und griff auch auf die Zwischendecke zur ersten Etage über. Das Feuer wurde von den Bewohner*innen entdeckt und die Feuerwehr gegen 4.00 Uhr alarmiert. Die Feuerwehr konnte das Feuer nach 45 Minuten löschen. Allerdings hätte das Feuer auch einen wesentlich größeren Schaden nehmen können, wenn das Feuer nur etwa 15 Minuten später entdeckt worden wäre. 10 Personen mussten wegen Verdachts auf Rauchgasvergiftung ins Krankenhaus.",Liebig34,,,,,,2015,,2015 Oct 06
2015-10-06,Steglitz-Zehlendorf,Homophober Angriff in Geflüchtetenunterkunft,"Ein 21-jähriger Mann und ein 28-jähriger Mann werden gegen 23.50 Uhr in der Geflüchtetenunterkunft in Lichterfelde am Ostpreußendamm von einem 15-, einem 24- und einem 25-Jährigen homophob beleidigt. Der 21-Jährige wird bedroht, geschlagen und gebissen.",ReachOut,physical,,,,,2015,physical attack,2015 Oct 06
2015-10-05,Mitte,LGBTIQ-feindliche Bedrohung einer Irakerin,"Eine transgeschlechtliche Frau, die bereits wegen Diskriminierung aus dem Irak nach Deutschland geflohen ist, wurde im Umfeld der LaGeSo mehrfach wegen ihrer transexuellen Identität bedroht und beleidigt. Am 05.10. erwachte die Irakerin, die in einer nahegelgenen Notunterkunft schlief, aufgrund von Gelächter das ihr galt und dem sexuelle Beschimpfungen folgten, als die Irakerin sich vom Nachtlager erhob. Auch in den Folgetagen ereigneten sich immmer wieder ähnliche Vorfälle, bei dem die Irakerin von Mitbewohnern mehrfach belästigt wurde, so dass sie auf den Schutz durch einen Bodyguard angewiesen ist.
 ",http://www.tagesspiegel.de/berlin/queerspiegel/transgeschlechtliche-fluechtlinge-bedroht-im-irak-und-in-berlin/12431422.html,verbal,,,,,2015,verbal attack,2015 Oct 05
2015-09-29,Mitte,Homophobie,"Am 29. September 2015 ereignete sich im Ortsteil Mitte ein Angriff aufgrund von Homophobie, zu dem die Berliner Polizei aus datenschutzrechtlichen Gründen keine näheren Angaben machte.",ReachOut,physical,,,,,2015,physical attack,2015 Sep 29
2015-09-25,Charlottenburg-Wilmersdorf,Transfeindlicher Angriff in Geflüchtetenlager,"Eine 19-jährige Frau wird Ende Oktober 2015 von anderen Bewohnern im Geflüchtetenlager Olympiazentrum transfeindlich beleidigt, mit Vergewaltigung und anderem bedroht. Einer der Männer schubst sie, sodass sie sich sich beim Sturz einen Arm bricht.","ReachOut, Tagesspiegel 12.10.15",physical,,,,,2015,physical attack,2015 Sep 25
2015-09-19,Charlottenburg-Wilmersdorf,Vortrag in der Bibliothek des Konservatismus,"Am 19. September 2015 fand in der Bibliothek des Konservatismus in der Fasanenstraße in Charlottenburg eine Mobilisierungsveranstaltung für den christlich-fundamentalistischen, ultrakonservativen und rechtspopulistischen „Marsch für das Leben“, ein Aufmarsch gegen die Selbstbestimmung von Frauen* und für Heteronormativität, statt. Referentin L. ist Bundesvorstandsmitglied der „Aktion Lebensrecht für Alle“, die den Marsch mit organisiert. Im Anschluss sprach der Theologe Hartmut C. über „Lebensschutz“, ein Terminus, der euphemistisch das Abtreibungsverbot meint.",Register CW,,,,,,2015,,2015 Sep 19
2015-09-14,Tempelhof-Schöneberg,Angriff aus homophober Motivation in der Motzstr. ,"Zwei Männer wurden am 14.09. gegen 21.30 Uhr in der Motzstraße von einem 31-jährigen homophob beleidigt und bespuckt. Einer der beiden Männer wurde von dem Täter so lange geschlagen, getreten und verletzt, bis Zeugen eingriffen.",ReachOut,physical,,,,,2015,physical attack,2015 Sep 14
2015-09-12,Tempelhof-Schöneberg,Angriff aus homophober Motivation,Am 12.09. wurde in der Bülowstr. in Schöneberg gegen 06.00 Uhr ein 40-jähriger Mann von einem 48-jährigen Mann angegriffen. Der 40-jährige hatte sich gegen homo- und transphobe Äußerungen des 48-jährigen ausgesprochen.,ReachOut,physical,,,,,2015,physical attack,2015 Sep 12
2015-09-09,Charlottenburg-Wilmersdorf,Treffen der Jungen Alternative im Europa-Center,"Am 9. September 2015 veranstaltete die „Junge Alternative Berlin“ ein Treffen im Restaurant Bavaria im Europacenter. Die „Junge Alternative“ ist die Jugendorganisation der Partei „Alternative für Deutschland“. Die „Junge Alternative Berlin“ vertritt in ihrem Grundsatzprogramm homophobe, transphobe, antifeministische, antikommunistische und nationalistische sowie wertkonservative Positionen.","Register CW, Facebook",,,,,,2015,,2015 Sep 09
2015-09-06,Pankow,Homophob beleidigt und geschlagen,"Am Morgen gegen 07:00 Uhr wurden im Ortsteil Prenzlauer Berg zwei Männer zunächst beleidigt und anschließend geschlagen. Gemäß ihren Angaben waren sie zusammen Hand in Hand laufend in der Bornholmer Straße unterwegs, als sie von vier Unbekannten zunächst homophob beleidigt wurden. Die beiden 43 und 53 Jahre alten Männer gingen nicht auf die Beleidigungen ein und versuchten ihren Weg fortzusetzen. Das gelang jedoch nicht, da die Gruppe nun damit begann mit Fäusten auf sie einzuschlagen. Dadurch erlitt der Ältere Verletzungen im Gesicht und an der Schulter. Der Jüngere wurde ebenfalls im Gesicht verletzt. Anschließend sollen die Schläger in Richtung Pankow geflüchtet sein. Rettungssanitäter brachten die Verletzten in ein Krankenhaus, welches sie nach einer ambulanten Behandlung wieder verlassen konnten. Der Polizeiliche Staatschutz hat die Ermittlungen übernommen.",Pressemitteilung der Polizei vom 06.09.2015,verbal,,,,,2015,verbal attack,2015 Sep 06
2015-08-30,Friedrichshain-Kreuzberg,Mann aus homophober Motivation mit Flasche geschlagen,"Ein 18 jähriger Mann griff am Sonntag morgen gegen 6.45 Uhr ein Pärchen in der Revaler Straße an. Die beiden 26 und 27 Jahre alten Männer hatten dort auf einer Parkbank gesessen, als der Angreifer unvermittelt mit einer Flasche auf den Älteren einschlug. Der Mann wurde dadurch im Gesicht und Brustbereich leicht verletzt. Die Polizei konnte den Angreifer wenig später festnehmen.
Artikel im Tagesspiegel",Tagesspiegel,,,,,,2015,,2015 Aug 30
